match_id,teams,innings,player,batter,how
19780717_00053_OldTraf,2,1,11,"Parker, JM {b1951-2-21}",absent hurt
19811219_00129_Perth,1,1,11,Majid Khan {b1946-9-28},absent hurt
19870115_00417_BarodaM,2,1,11,"Madugalle, RS {b1959-4-22}",absent hurt
19900502_00630_Sharjah,2,1,11,"Gurusinha, AP {b1966-9-16}",absent hurt
19931121_00854_HydrbdL,2,1,11,"Brandes, EA {b1963-3-5}",absent hurt
19950226_00984_Harare,2,1,11,Aamer Sohail {b1966-9-14},absent hurt
19960306_01076_LahoreG,2,1,11,"Morrison, DK {b1966-2-3}",absent hurt
19961103_01137_PeshwrA,2,1,11,"Campbell, ADR {b1972-9-23}",absent hurt
19970402_01188_CapeTn,2,1,11,"Waugh, ME {b1965-6-2}",absent hurt
19970524_01212_Mohali,2,1,10,Inzamam-ul-Haq {b1970-3-3},absent hurt
19970524_01212_Mohali,2,1,11,Abdul Razzaq {b1979-12-2},absent hurt
19970716_01217_ColmboR,2,1,11,Minhajul Abedin {b1965-9-25},absent hurt
19971010_01239_NairobG,2,1,11,Saiful Islam {b1969-4-1},absent hurt
19981030_01362_Dhaka,2,1,11,"Muralitharan, M {b1972-4-17}",absent hurt
19990327_01424_Dhaka,2,1,11,"Tikolo, SO {b1971-6-25}",absent hurt
19991014_01513_Sharjah,2,1,11,"Adams, JC {b1968-1-9}",absent hurt
20000219_01566_LahoreG,2,1,11,Azhar Mahmood {b1975-2-28},absent hurt
20000602_01599_Dhaka,2,1,11,Shahriar Hossain {b1976-6-1},absent hurt
20000607_01602_Dhaka,2,1,11,"Weeraratne, K {b1981-1-20}",absent hurt
20020417_01832_Sharjah,2,1,11,"Muralitharan, M {b1972-4-17}",absent hurt
20040527_02132_Harare,2,1,11,"Hondo, DT {b1979-7-7}",absent hurt
20070314_02532_Bsstrr,2,1,11,"Blain, JAR {b1979-1-4}",absent hurt
20080906_02762_DarwnM,2,1,11,Shahadat Hossain (Rajib) {b1986-8-7},absent hurt
20090129_02807_Mombasa,2,1,11,"Odoyo, TM {b1978-5-12}",absent hurt
20090926_02897_Wandrer,2,1,11,"Richards, DM {b1976-7-16}",absent hurt
20091015_02910_Harare,2,1,11,"Williams, SC {b1986-9-26}",absent hurt
20110821_03183_BulawyQ,2,1,11,"Meth, KO {b1988-2-8}",absent hurt
20131029_03423_Mirpur,2,1,11,"Williamson, KS {b1990-8-8}",absent hurt
20141119_03548_Cnberra,2,1,11,Imran Tahir {b1979-3-27},absent hurt
20150312_03633_WelltnS,2,1,11,Fahad Alhashmi {b1982-7-31},absent hurt
20151107_03703_Mirpur,2,1,11,"Mutumbami, R {b1989-6-11}",absent hurt
20160613_03744_Harare,1,1,11,"Williams, SC {b1986-9-26}",absent hurt
20170604_03878_Edgbast,2,1,11,Wahab Riaz {b1985-6-28},absent hurt
20180127_03967_Mirpur,2,1,11,Shakib Al Hasan {b1987-3-24},absent hurt
20230115_04505_Kryvtm,2,1,11,"Bandara, KNA {b1998-11-23}",absent hurt
20230421_04568_Ktpur,2,1,11,Aaqib Ilyas {b1992-9-5},absent hurt
20230708_04619_ChitDiv,2,1,11,Ebadat Hossain {b1994-1-7},absent hurt
20230910_04639_ColmboR,2,1,10,Naseem Shah {b2003-2-15},absent hurt
20230910_04639_ColmboR,2,1,11,Haris Rauf {b1993-11-7},absent hurt
20230915_04647_Lord's,2,1,11,"Southee, TG {b1988-12-11}",absent hurt
20231021_04677_Wankhed,2,1,11,"Topley, RJW {b1994-2-12}",absent hurt
20250208_04826_LahoreG,2,1,11,Haris Rauf {b1993-11-7},absent hurt
20250525_04877_Dublin,2,1,10,"Neill, JE {b2006-3-3}",absent hurt
20250525_04877_Dublin,2,1,11,"Little, JB {b1999-11-1}",absent hurt
20250907_04906_RoseBwl,2,1,11,"Bavuma, T {b1990-5-17}",absent hurt
